Year;Value
1996;64000
1997;69950
1998;78000
1999;84250
2000;100000
2001;116000
2002;131000
2003;159950
2004;174000
2005;187000
2006;190491
2007;207000
2008;217000
2009;188000
2010;227500
2011;217000
